GENERATION_PROJECT,build_year,gen_predetermined_cap
g10698,2019,176.65108351083254
g10699,2019,176.65108351083254
g10700,2019,176.65108351083254
g10701,2019,48.36241441422772
g10702,2019,48.36241441422772
g10703,2019,48.36241441422772
g10704,2019,48.36241441422772
g10705,2019,2.294786448456903
g10706,2019,2.2955888213409787
g10707,2019,2.0059322101896004
g10708,2019,2.2955888213409787
g10709,2019,2.2955888213409787
g10710,2019,2.294786448456903
g10711,2019,2.2955888213409787
g10712,2019,151.4558388246449
g10713,2019,151.4558388246449
g10714,2019,190.1530047038369
g10715,2019,190.1530047038369
g10716,2019,190.1530047038369
g10717,2019,4.346186455410801
g10718,2019,4.346186455410801
g10719,2019,5.2956610349005455
g10720,2019,4.346186455410801
g10721,2019,4.346186455410801
g10722,2019,97.94505670020763
g10723,2019,4.988084762671472
g10724,2019,4.988084762671472
g10725,2019,25.243571314486502
g10726,2019,9.996454240536655
g10727,2019,72.70148538572113
g10728,2019,25.962980369743306
g10729,2019,25.962980369743306
g10730,2019,12.217873115173319
g10731,2019,40.7262437172444
g10732,2019,40.7262437172444
g10733,2019,40.7262437172444
g10734,2019,15.27234139396665
g10735,2019,8.14524874344888
g10736,2019,8.094340938802324
g10737,2019,8.094340938802324
g10738,2019,104.00351381568439
g10739,2019,20.770384295794642
g10740,2019,20.770384295794642
g10741,2019,132.86937012750985
g10742,2019,132.86937012750985
g10743,2019,132.86937012750985
g10744,2019,11.19971702224221
g10745,2019,18.32680967275998
g10746,2019,15.27234139396665
g10747,2019,26.47205841620886
g10748,2019,99.86356812010861
g10749,2019,16.29049748689776
g10750,2019,16.29049748689776
g10751,2019,7.330723869103992
g10752,2019,9.996454240536655
g10753,2019,9.996454240536655
g10754,2019,10.097428525794601
g10755,2019,10.097428525794601
g10756,2019,202.95831336847147
g10757,2019,308.786379864147
g10758,2019,308.78943433242586
g10759,2019,308.78943433242586
g10760,2019,308.786379864147
g10761,2019,308.786379864147
g10762,2019,308.78943433242586
g10763,2019,3.566012554461059
g10764,2019,3.566012554461059
g10765,2019,3.566012554461059
g10766,2019,32.58099497379552
g10767,2019,99.66161954959271
g10768,2019,63.61379971250599
g10769,2019,41.39945695575786
g10770,2019,111.1320724984439
g10771,2019,111.1320724984439
g10772,2019,111.1320724984439
g10773,2019,111.1320724984439
g10774,2019,111.1320724984439
g10775,2019,111.1320724984439
g10776,2019,12.398562847830487
g10777,2019,14.901025073998108
g10778,2019,27.86832933686669
g10779,2019,40.7262437172444
g10780,2019,40.7262437172444
g10781,2019,10.1815609293111
g10782,2019,10.1815609293111
g10783,2019,24.944824276812195
g10784,2019,24.944824276812195
g10785,2019,14.457816519621762
g10786,2019,14.457816519621762
g10787,2019,14.457816519621762
g10788,2019,11.19971702224221
g10789,2019,75.7307139434595
g10790,2019,24.73869988819677
g10791,2019,19.955859421449755
g10792,2019,37.26451300127863
g10793,2019,37.26451300127863
g10794,2019,37.26451300127863
g10795,2019,24.130299402467305
g10796,2019,12.014241896587098
g10797,2019,197.18323604968927
g10798,2019,197.18629051796805
g10799,2019,197.18323604968927
g10800,2019,197.18629051796805
g10801,2019,197.18629051796805
g10802,2019,197.18323604968927
g10803,2019,163.22878611593347
g10804,2019,163.22878611593347
g10805,2019,39.19900957784773
g10806,2019,292.8254272480434
g10807,2019,292.8254272480434
g10808,2019,267.58185593355694
g10809,2019,2.0059322101896004
g10810,2019,2.9420339082780806
g10811,2019,2.9420339082780806
g10812,2019,2.9420339082780806
g10813,2019,274.70210346340025
g10814,2019,274.70210346340025
g10815,2019,642.0
g10816,2019,78.80611430967346
g10817,2019,16.27170781292853
g10818,2019,75.02441351025237
g10819,2019,100.66039920019645
g10820,2019,125.38786608786101
g10821,2019,231.3772399516835
g10822,2019,231.3772399516835
g10823,2019,231.3772399516835
g10824,2019,27.866210732379454
g10825,2019,55.36618482778106
g10826,2019,55.36618482778106
g10827,2019,55.36618482778106
g10828,2019,12.583223824495695
g10829,2019,12.583223824495695
g10830,2019,141.44687183787545
g10831,2019,141.44687183787545
g10832,2019,7.444572201993444
g10833,2019,89.65391951829248
g10834,2019,89.65391951829248
g10835,2019,28.395725399032138
g10836,2019,28.395725399032138
g10837,2019,28.395725399032138
g10838,2019,66.62892120784133
g10839,2019,66.62892120784133
g10840,2019,15.420899561272135
g10841,2019,19.568589788097054
g10842,2019,39.24353060765115
g10843,2019,39.24353060765115
g10844,2019,32.15332007582244
g10845,2019,32.15332007582244
g10846,2019,83.91096381961182
g10847,2019,83.91096381961182
g10848,2019,10.635103145704921
g10849,2019,10.635103145704921
g10850,2019,53.267333592279186
g10851,2019,53.267333592279186
g10852,2019,53.267333592279186
g10853,2019,14.463740278158692
g10854,2019,13.506580995045248
g10855,2019,8.720784579478034
g10856,2019,8.720784579478034
g10857,2019,41.051498142420996
g10858,2019,18.421839679061698
g10859,2019,18.421839679061698
g10860,2019,18.421839679061698
g10861,2019,74.44572201993445
g10862,2019,74.44572201993445
g10863,2019,54.983483263294445
g10864,2019,54.983483263294445
g10865,2019,34.83276341547431
g10866,2019,52.614523760436725
g10867,2019,34.83276341547431
g10868,2019,23.397226920550825
g10869,2019,35.09584038082624
g10870,2019,35.09584038082624
g10871,2019,36.441016195739536
g10872,2019,149.20019644297892
g10873,2019,58.386716269920015
g10874,2019,58.386716269920015
g10875,2019,12.868474806302954
g10876,2019,9.039837673849183
g10877,2019,8.082678390735738
g10878,2019,7.231870139079346
g10879,2019,7.125519107622297
g10880,2019,7.657274264907543
g10881,2019,10.847805208619018
g10882,2019,49.66593169044198
g10883,2019,62.69393304393051
g10884,2019,62.69393304393051
g10885,2019,75.93463646033314
g10886,2019,75.93463646033314
g10887,2019,62.74710855965903
g10888,2019,12.868474806302954
g10889,2019,26.162353738434106
g10890,2019,26.162353738434106
g10891,2019,26.162353738434106
g10892,2019,126.55772743388856
g10893,2019,126.55772743388856
g10894,2019,126.55772743388856
g10895,2019,126.55772743388856
g10896,2019,126.55772743388856
g10897,2019,126.55772743388856
g10898,2019,70.40438282456658
g10899,2019,70.40438282456658
g10900,2019,70.40438282456658
g10901,2019,7.125519107622297
g10902,2019,7.125519107622297
g10903,2019,17.113184401314147
g10904,2019,28.18642136687036
g10905,2019,10.635103145704921
g10906,2019,27.119513021547547
g10907,2019,56.47239770369313
g10908,2019,7.019168076165247
g10909,2019,7.444572201993444
g10910,2019,10.635103145704921
g10911,2019,10.635103145704921
g10912,2019,14.357389246701644
g10913,2019,14.357389246701644
g10914,2019,19.143185662268856
g10915,2019,61.73677376081706
g10916,2019,61.73677376081706
g10917,2019,206.5607229113442
g10918,2019,206.5607229113442
g10919,2019,206.5607229113442
g10920,2019,10.902105121543071
g10921,2019,10.902105121543071
g10922,2019,10.90512509526095
