GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
g12665,hydro,2074199,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12666i,hydro,2074199,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12666,hydro,2074199,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12667i,hydro,2074199,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12667,hydro,2074199,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12668i,hydro,2074200,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12668,hydro,2074200,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12669i,hydro,2074201,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12669,hydro,2074201,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12670i,ng,2074204,0,5000.0,6.87,10.376355599999998,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12670,ng,2074204,0,.,6.87,10.376355599999998,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12671i,ng,2074205,0,5000.0,6.54,9.123160800000003,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12671,ng,2074205,0,.,6.54,9.123160800000003,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12672i,ng,2074205,0,5000.0,6.49,9.057220799999996,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12672,ng,2074205,0,.,6.49,9.057220799999996,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12673i,ng,2074211,0,5000.0,6.82,10.0338315,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12673,ng,2074211,0,.,6.82,10.0338315,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12674i,ng,2074212,0,5000.0,6.83,9.0931515,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12674,ng,2074212,0,.,6.83,9.0931515,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12675i,solar,2074213,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12675,solar,2074213,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12676i,solar,2074214,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12676,solar,2074214,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12677i,solar,2074214,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12677,solar,2074214,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12678i,solar,2074214,0,5000.0,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12678,solar,2074214,0,.,.,0.0,20,0,0,0,1,1,0,Solar,.,.,.,.,.
g12679i,hydro,2074220,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12679,hydro,2074220,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12680i,hydro,2074220,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12680,hydro,2074220,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12681i,hydro,2074221,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12681,hydro,2074221,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12682i,hydro,2074221,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12682,hydro,2074221,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12683i,hydro,2074222,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12683,hydro,2074222,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12684i,ng,2074223,0,5000.0,7.52,10.8360306,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
